family,dataset,concept,role,n,retention_rate,spearman_r,spearman_p,ci_lower,ci_upper,homeland_name
Austronesian,ABVD (JLE baseline),SEA,anchor,612,0.4951,0.4221,0.0000,0.3583,0.4954,Taiwan
Austronesian,ABVD (JLE baseline),LEFT,control,630,0.4063,0.2578,0.0000,0.1743,0.3353,Taiwan
Austronesian,ABVD (JLE baseline),RIGHT,control,606,0.3548,-0.5849,0.0000,-0.6369,-0.5325,Taiwan
Austronesian,ABVD (JLE baseline),ABOVE,control,351,0.2678,-0.2842,0.0000,-0.3769,-0.1937,Taiwan
Austronesian,ABVD (JLE baseline),BELOW,control,360,0.2250,-0.0994,0.0596,-0.1919,0.0031,Taiwan
Austronesian,ABVD expanded (maritime package test),SEA,anchor_baseline,612,0.4951,0.4221,0.0000,0.3583,0.4954,Taiwan
Austronesian,ABVD expanded (maritime package test),STAR,anchor_hypothesis,621,0.5475,-0.1722,0.0000,-0.2517,-0.1019,Taiwan
Austronesian,ABVD expanded (maritime package test),FISH,anchor_hypothesis,661,0.4887,0.1724,0.0000,0.0930,0.2552,Taiwan
Austronesian,ABVD expanded (maritime package test),CLOUD,anchor_hypothesis,517,0.1257,-0.2084,0.0000,-0.2842,-0.1314,Taiwan
Austronesian,ABVD expanded (maritime package test),DOG,anchor_hypothesis,667,0.2624,-0.5198,0.0000,-0.5669,-0.4645,Taiwan
Indo-European,IECoR (Steppe),RIVER,anchor,122,0.2131,-0.0620,0.4978,-0.2711,0.1154,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),FOREST,anchor,93,0.1183,-0.3374,0.0009,-0.4687,-0.2030,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),DOG,anchor,131,0.6260,0.0526,0.5510,-0.1279,0.2389,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),SALT,anchor,130,0.6769,0.1122,0.2037,-0.0518,0.2835,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),SEA,control,110,0.5273,0.1657,0.0836,-0.0285,0.3496,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),TREE,control,122,0.2869,-0.4433,0.0000,-0.5780,-0.2842,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),LEFT,control,116,0.1466,-0.3447,0.0002,-0.4635,-0.2192,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),RIGHT,control,141,0.4184,0.1950,0.0205,0.0348,0.3623,Pontic-Caspian steppe
Indo-European,IECoR (Steppe),MOUNTAIN,control,139,0.2086,0.4104,0.0000,0.2816,0.5440,Pontic-Caspian steppe
Indo-European,DIACL (cultural vocabulary),HORSE,cultural_anchor,67,0.3881,0.1782,0.1492,-0.0684,0.4224,Pontic-Caspian steppe
Indo-European,DIACL (cultural vocabulary),WHEEL,cultural_anchor,67,0.4478,0.3725,0.0019,0.1342,0.5716,Pontic-Caspian steppe
Indo-European,DIACL (cultural vocabulary),YOKE,cultural_anchor,59,0.9492,0.1450,0.2733,-0.0936,0.3631,Pontic-Caspian steppe
Indo-European,DIACL (cultural vocabulary),PLOUGH_V,cultural_anchor,60,0.5000,-0.1819,0.1642,-0.4209,0.0773,Pontic-Caspian steppe
Indo-European,DIACL (cultural vocabulary),PLOUGH_N,cultural_anchor,66,0.5303,0.1865,0.1339,-0.0484,0.4033,Pontic-Caspian steppe
Indo-European,DIACL (cultural vocabulary),AXLE,cultural_anchor,54,0.9074,-0.0594,0.6694,-0.2905,0.1754,Pontic-Caspian steppe
Sino-Tibetan,sagartst,RICE,anchor,23,0.3043,0.2707,0.2116,-0.1233,0.6080,Upper Yellow River basin
