family,dataset,concept,original_label,fisher_z_label,permutation_label,bayesian_label,all_agree
Austronesian,ABVD (JLE baseline),ABOVE,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Austronesian,ABVD (JLE baseline),BELOW,null_untestable,null_untestable,null_untestable,null_untestable,True
Austronesian,ABVD (JLE baseline),LEFT,founder_effect,founder_effect,founder_effect,founder_effect,True
Austronesian,ABVD (JLE baseline),RIGHT,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Austronesian,ABVD (JLE baseline),SEA,selective_anchor,selective_anchor,selective_anchor,selective_anchor,True
Austronesian,ABVD expanded (maritime package test),CLOUD,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Austronesian,ABVD expanded (maritime package test),DOG,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Austronesian,ABVD expanded (maritime package test),FISH,founder_effect,founder_effect,founder_effect,founder_effect,True
Austronesian,ABVD expanded (maritime package test),SEA,selective_anchor,selective_anchor,selective_anchor,selective_anchor,True
Austronesian,ABVD expanded (maritime package test),STAR,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Bantu,Grollemund 2015,FIRE,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund 2015,STONE,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund 2015,TREE,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Bantu,Grollemund 2015,WATER,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),BED,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),ELEPHANT,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),FIRE,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),GOAT,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),HOUSE,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),IRON,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),KNIFE,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),ROAD,null_untestable,null_untestable,null_untestable,null_untestable,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),SALT,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),SPEAR,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),STONE,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),TREE,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
